titre,numéro,mots_clefs,catégorie
Les rescapés de l'évolution,15/06/2003,"Évolution (Biologie)
Fossiles vivants",
L'énigme du chimpanzé. 1re partie,15/06/2003,"Génétique humaine
Êtres humains -- Évolution
Chimpanzé -- Génétique",
L'auto branchée,15/06/2003,Automobiles électriques,
Un PC pour quelques roupies,15/06/2003,"Micro-ordinateurs -- Conception et construction
Micro-ordinateurs -- Pays en voie de développement",
Le SRAS s'arrêtera-t-il?,15/06/2003,"Maladies infectieuses
Syndrome respiratoire aigu sévère
Maladies émergentes",
La peur des vivres,15/06/2003,"Ferrières, Madeleine. Histoire des peurs alimentaires : du Moyen Age à l'aube du XXe siècle
Aliments -- Salubrité -- Histoire",
Le théorème de l'entrechat,15/06/2003,"Sciences -- Étude et enseignement (Primaire) -- Québec (Province)
Arts et sciences",
Jambe bionique,15/06/2003,"Prothèses orthopédiques
Jambe artificielle",
Biotech,15/05/2003,"Biotechnologie
Génétique
Emplois -- Biotechnologie
Biotechnologie -- Industrie
Biotechnologie -- Aspect moral
Génie génétique",
Comment bien profiter du plein air,15/05/2003,"Loisirs de plein air -- Québec (Province)
Cuisine en plein air
Camping -- Matériel
Exercice physique -- Aspect physiologique
Effort physique
Loisirs de plein air -- Matériel
Vêtements de plein air",
Maestro numérique,15/05/2003,"Déry, Marc
Musique électronique
Musique par ordinateur",
Bulles de choc,15/05/2003,"Sonertec (Firme)
Réacteurs à cavitation acoustique",
Un train d'enfer,15/05/2003,"Trains à grande vitesse -- Canada
JetTrain (Train à grande vitesse)",
Maudite machine!,15/05/2003,"Stress
Technologie de l'information -- Aspect psychologique",
La redécouverte du patrimoine industriel,15/05/2003,"Morue -- Pêche commerciale -- Québec (Province) -- Histoire
Pêches -- Québec (Province) -- Histoire",
Changement de moeurs,15/05/2003,"Ecureuils -- Evolution
Ecureuils -- Reproduction
Ecureuils -- Yukon
Animaux et climat
Climat -- Changements -- Aspect de l'environnement -- Yukon",
Le hubble de l'infrarouge,15/05/2003,"Télescopes spatiaux -- États-Unis
Astronomie infrarouge
Satellites artificiels en astronomie
SIRTF (Satellite artificiel)",
L'enfance du sexe,15/05/2003,"Robert, Jocelyne. Ma sexualité de 9 à 11 ans
Enfants -- Sexualité
Éducation sexuelle des enfants",
La revanche de Prométhée,15/05/2003,"Fischer, Hervé. CyberProméthée ou l'instinct de puissance à l'âge du numérique
Technologie -- Aspect social",
Les côtes du Québec rongées par la mer,15/04/2003,"Littoral -- Modifications -- Québec (Province)
Littoral -- Facteurs climatiques -- Québec (Province)
Climat -- Changements -- Aspect de l'environnement -- Québec (Province)",
La redécouverte du patrimoine industriel,15/04/2003,Textiles et tissus -- Industrie et commerce -- Québec (Province) -- Histoire,
Voyage en pays extrême,15/04/2003,"Malaurie, Jean
Ivakkak (Course de traîneaux à chiens)
Climat -- Changements -- Aspect de l'environnement -- Québec (Province) -- Nord-du-Québec
Béluga -- Populations -- Québec (Province) -- Nord-du-Québec
Béluga -- Chasse -- Québec (Province) -- Nord-du-Québec
Courses de traîneaux à chiens -- Québec (Province) -- Nord-du-Québec
Nickel -- Mines et extraction -- Québec (Province) -- Nord-du-Québec
Diamants -- Mines et extraction -- Québec (Province) -- Nord-du-Québec
Prospection -- Québec (Province) -- Nord-du-Québec
Centrales hydroélectriques -- Québec (Province) -- Nord-du-Québec
Inuit -- Québec (Province) -- Santé
Nord-du-Québec (Québec) -- Société
Mine Raglan (Québec)",
Cinquante ans d'ADN et des surprises,15/04/2003,"ADN
Génétique humaine -- Recherche",
Cliquez votre député,15/04/2003,Vote électronique,
Tribunes en ligne,15/03/2003,Blogues,
Peau... et petits pots,15/03/2003,Produits de beauté -- Recherche,
L'ARN dans l'arène,15/03/2003,Interférence ARN,
La redécouverte du patrimoine industriel,15/03/2003,"Electricité -- Distribution -- Québec (Province) -- Histoire
Barrages hydroélectriques -- Québec (Province) -- Histoire
Centrales hydroélectriques -- Québec (Province) -- Histoire
Énergie hydroélectrique -- Québec (Province)",
Paranormal,15/03/2003,"Croyances -- Aspect sociologique
Parapsychologie",
Comment le travail rend fou,15/03/2003,"Stress dû au travail
Travail -- Aspect psychologique
Travailleurs -- Santé mentale
Cadres (Personnel) -- Santé mentale
Harcèlement en milieu de travail",
Plus vite que la lumière,15/03/2003,"Ondes électriques -- Propagation -- Expériences
Lumière -- Vitesse",
Une ou deux choses que je sais sur Craig Venter,15/03/2003,"Venter, John Craig
Génie génétique microbien -- Recherche
Organismes génétiquement fabriqués
Cellules artificielles
Biologistes -- Etats-Unis",
De l'argent pour les génies,15/03/2003,"Manseau, Hubert
Capital de risque -- Québec (Province)
Entreprises -- Financement -- Québec (Province)
Nouvelles entreprises -- Québec (Province)
Entreprises créées par des scientifiques -- Québec (Province)",
Columbia,15/03/2003,"Columbia (Navette spatiale)
Navettes spatiales -- Accidents
Programme spatial -- États-Unis",
La redécouverte du patrimoine industriel,15/02/2003,"Automobiles -- Québec (Province) -- Histoire
Automobiles -- Histoire
Automobiles -- Conception et construction -- Histoire",
Guerre chirurgicale,15/02/2003,"Ozone
Chirurgie -- Appareils et instruments -- Stérilisation",
Les lois du désir,15/02/2003,"Désir sexuel -- Aspect physiologique
Phéromones humaines",
Eurêka!,15/02/2003,Inventions -- Ressources Internet,
Les apprentis sorciers de la variole,15/02/2003,"Bioterrorisme
Génie génétique animal
Souris (Animaux de laboratoire)
Virus de la variole",
Les découvertes de l'années [10e édition],15/02/2003,Découvertes scientifiques -- Québec (Province),
This is a cook!,15/02/2003,"This, Hervé
Cuisine -- Chimie
Cuisine moléculaire",
"Hic-hic-hic, hourra?",15/12/2002,"Eaux-de-vie
Fermentation
Distillation
Distillerie",
Un magazine d'exception,15/12/2002,"Québec science (Périodique)
Sciences -- Périodiques -- Québec (Province) -- Histoire",
"Ce qui a changé, ce qui va changer. [3e partie], Environnement",15/12/2002,"Potvin, Catherine
Environnement -- Dégradation
Environnement, Attitude envers l' -- Québec (Province)
Changements climatiques, Lutte contre les
Gaz à effet de serre -- Réduction",
"Ce qui a changé, ce qui va changer. [7e partie], Neurosciences",15/12/2002,"Feindel, William
Neurosciences -- Histoire
Neurosciences",
"Ce qui a changé, ce qui va changer. [9e partie], Agroalimentaire",15/12/2002,"Laurendeau, Hélène
Habitudes alimentaires -- Québec (Province)
Agriculture -- Québec (Province) -- Histoire",
"Ce qui a changé, ce qui va changer. [6e partie], Espace",15/12/2002,"Reeves, Hubert
Cosmologie
Espace extra-atmosphérique -- Exploration -- Histoire",
"Ce qui a changé, ce qui va changer. [5e partie], Paléontologie",15/12/2002,"Chapdelaine, Claude
Préhistoire -- Québec (Province)
Paléontologie -- Histoire",
A bout de souffle?,15/12/2002,"Jeunesse et sciences -- Québec (Province)
Jeunes scientifiques -- Québec (Province)",
"Ce qui a changé, ce qui va changer. [1re partie], Education",15/12/2002,"Gérin-Lajoie, Paul
Education -- Québec (Province) -- Histoire
Éducation -- Québec (Province) -- Réforme -- Histoire",
"Ce qui a changé, ce qui va changer. [2e partie], Santé",15/12/2002,"Médecine -- Québec (Province)
Santé, Services de -- Québec (Province)",
"Ce qui a changé, ce qui va changer. [10e partie], Société",15/12/2002,"Rocher, Guy
Sciences sociales -- Recherche -- Québec (Province)
Sciences sociales -- Québec (Province) -- Histoire",
"Ce qui a changé, ce qui va changer. [4e partie], Ressources naturelles",15/12/2002,"Lamarre, Bernard
Ressources naturelles -- Exploitation -- Québec (Province)
Ingénierie -- Québec (Province)",
"Ce qui a changé, ce qui va changer. [8e partie], Télécommunications-Informatique",15/12/2002,"Lévy, Pierre
Télécommunications -- Histoire
Technologie de l'information -- Aspect social",
Clés en main,15/11/2002,"Serrures
Clés
Crochetage de serrures",
Plus vrai que vrai!,15/11/2002,Réalité augmentée,
Le scalpel ou la souris,15/11/2002,"Anatomie humaine -- Etude et enseignement (Universitaire) -- Logiciels
Dissection du corps humain",
Grain & Groin,15/11/2002,"Maïs -- Culture -- Aspect de l'environnement -- Québec (Province)
Maïs -- Culture -- Québec (Province)
Porcs -- Elevage -- Québec (Province)
Porcs -- Elevage -- Aspect de l'environnement -- Québec (Province)
Fumier -- Epandage",
Il n'y a plus de saisons,15/11/2002,"Temps (Météorologie) -- Prévision
Climat -- Changements",
La redécouverte du patrimoine industriel,15/11/2002,"Prospection -- Québec (Province) -- Histoire
Mines -- Industrie -- Québec (Province) -- Histoire
Technique minière -- Québec (Province) -- Histoire",
Rio +10 ou Rio -10,15/11/2002,"Environnement -- Protection -- Congrès, colloques, etc",
L'empêcheur de penser en rond,15/11/2002,"Gingras, Yves
Sciences -- Aspect social
Recherche -- Aspect social",
La revanche des guérisseurs?,15/11/2002,"Organisation mondiale de la santé
Santé, Services de
Médecines douces
Médecine populaire",
La guerre des pourriels,15/10/2002,"Pourriels
Pourriels -- Filtrage
Sécurité informatique
Pourriels, Lutte contre les",
Le palmarès des montagnes,15/10/2002,Montagnes -- Québec (Province),
Du cerf écologiquement modifié,15/10/2002,"Chevreuil -- Québec (Province) -- Anticosti, Ile d'",
Et si Montignac avait raison?,15/10/2002,"Montignac, Michel. Bon poids, bon coeur avec la méthode Montignac
Dumesnil, Jean G
Dumesnil, Jean G. Bon poids, bon coeur avec la méthode Montignac
American heart association
Régimes amaigrissants
Régimes alimentaires
Diabète -- Aspect nutritionnel
Système cardiovasculaire -- Maladies -- Aspect nutritionnel
Diabète -- Prévention
Système cardiovasculaire -- Maladies -- Prévention",
Décadences culinaires,15/10/2002,Aliments -- Altération,
Planétomania,15/10/2002,"Exoplanètes
Télescopes spatiaux
Système solaire",
La redécouverte du patrimoine industriel,15/10/2002,"INRS-Institut Armand-Frappier (Laval, Québec)
Vaccins -- Recherche -- Québec (Province) -- Histoire
Microbiologie -- Laboratoires -- Québec (Province) -- Histoire
Industrie pharmaceutique -- Québec (Province) -- Histoire
Pharmacologie -- Québec (Province) -- Histoire",
Biodôme,15/10/2002,"Biodôme de Montréal
Sciences naturelles -- Musées -- Québec (Province) -- Montréal",
Un cordon pour la vie!,15/10/2002,"Cellules souches -- Emploi en thérapeutique
Cellules souches issues de sang de cordon ombilical
Banques de sang de cordon ombilical",
"Une \drill\"" canadienne pour Mars!""",15/10/2002,"Foreuses -- Innovations
Mars (Planète) -- Exploration
Mars (Planète) -- Géologie",
Vivre avec un coeur de cochon,15/10/2002,"Pothier, François
Génie génétique animal
Porcs -- Génie génétique
Hétérogreffes -- Recherche",
Quand les poules avaient des dents...,15/10/2002,"Oiseaux -- Évolution
Dinosaures -- Anatomie
Dinosaures -- Évolution
Fouilles (Paléontologie) -- Chine
Oiseaux -- Anatomie",
Le passé sans avenir?,15/07/2003,"Chapdelaine, Claude
Patrimoine culturel -- Québec (Province)
Préhistoire -- Québec (Nord)",
Péril en mer,15/07/2003,"Surpêche -- Canada
Ressources halieutiques -- Conservation -- Canada
Ressources marines -- Protection -- Canada",
La douleur sous contrôle,15/07/2003,"Cerveau -- Localisation cérébrale
Hypnothérapie
Douleur -- Traitement",
Congrès de l'Acfas en direct,15/07/2003,"ACFAS
Sciences -- Canada -- Congrès, colloques, etc",
Epieur d'odeurs,15/07/2003,"Odotech (Firme)
Capteurs d'odeurs
Odeurs, Lutte contre les -- Appareils et matériel
Réseaux de capteurs",
Cinq énigmes,15/07/2003,"Découvertes scientifiques
Extraterrestres
Poincaré, Conjecture de
Expériences de mort temporaire -- Aspect physiologique
Esprit et corps
Diamants -- Gisements -- Québec (Province) -- Chibougamau
Baleines -- Carcasses
Faune des grands fonds",
Le Québec a 11.000 ans,15/07/2003,"Préhistoire -- Québec (Province)
Premières nations -- Québec (Province) -- Préhistoire
Archéologie -- Québec (Province)
Fouilles (Archéologie) -- Québec (Province)
Sites archéologiques -- Québec (Province)
Archéologie -- Datation",
L'énigme du chimpanzé,15/07/2003,"Chimpanzé -- Génétique
Génétique humaine
Êtres humains -- Évolution",
Dans notre cour,15/07/2003,"Virus du Nil occidental
Nil occidental, Fièvre à virus du
Moustiques (Vecteurs de maladies)
Insecticides",
A l'attaque d'un mythe,15/09/2002,"Commoner, Barry
Génétique
Code génétique",
L'étoile mystérieuse,15/09/2002,"Etoiles à quarks
Étoiles -- Densité",
Un survenant dans le potager,15/09/2002,"Melon de Montréal
Melons -- Variétés anciennes",
La redécouverte du patrimoine industriel,15/09/2002,"Société Radio-Canada
Télé-Métropole (Station de télévision)
Télévision -- Québec (Province) -- Histoire
Stations de télévision -- Québec (Province) -- Histoire
Télévision -- Canada -- Histoire",
Le dernier voyage du Nipigon,15/09/2002,"Nipigon (Navire)
Echouages -- Québec (Province) -- Saint-Laurent, Estuaire du
Epaves -- Québec (Province) -- Saint-Laurent, Estuaire du
Plongée sous-marine -- Québec (Province) -- Saint-Laurent, Estuaire du",
Le secret du fakir,15/09/2002,Pression,
Télé-Web,15/09/2002,"Télévision sur Internet
Ordinateurs et télévision
Vidéo numérique -- Appareils et matériel
Vidéo numérique -- Normes",
Comètes,15/09/2002,"Comètes
Halley, Comète de",
Ce que nous apprennent les crises,15/09/2002,"Lagadec, Patrick
Attentats du 11 septembre 2001, États-Unis
Terrorisme -- Aspect social
Gestion de crise",
Le retour du bar rayé,15/09/2002,"Faune -- Réintroduction
Bar rayé -- Saint-Laurent (Fleuve)
Bar rayé -- Québec (Province)",
Comment les pompiers se préparent au pire,15/09/2002,"Pompiers -- Formation -- Québec (Province)
Incendies, Services des -- Québec (Province)
Gestion des situations d'urgence -- Québec (Province)",
A la rencontre des bêtes fantastiques,15/09/2002,"Licornes
Boeuf musqué
Couguar -- Québec (Province)
Glouton (Mammifère)
Punaises",
Un mégaprojet vert,15/06/2002,"Mead, Harvey
Gaudreault, Léopold
Union québécoise pour la conservation de la nature
Nature -- Conservation -- Québec (Province)
Habitat (Ecologie) -- Conservation -- Québec (Province)",
Les plantes aussi disparaissent,15/06/2002,"Lesouëf, Jean-Yves
Conservatoire botanique national de Brest (France)
Espèces en danger -- Protection
Plantes rares",
Chine,15/06/2002,"Dérivation (Travaux publics) -- Aspect de l'environnement -- Chine
Yangzi jiang (Chine)",
Poker climatique,15/06/2002,"Protocole de Kyoto (1997)
Réchauffement de la terre
Gaz à effet de serre -- Réduction -- Accords internationaux
Changements climatiques, Lutte contre les -- Etats-Unis
Changements climatiques, Lutte contre les -- Pays de l'Union européenne
Gaz à effet de serre -- Réduction -- États-Unis
Gaz à effet de serre -- Réduction -- Pays de l'Union européenne
Gaz carbonique -- Émissions",
Ulysse Inc.,15/06/2002,"Ressources marines -- Exploitation
Mer -- Protection",
Gro Harlem Brundtland,15/06/2002,"Brundtland, Gro Harlem
Commission mondiale sur l'environnement et le développement. Notre avenir à tous
Développement durable
Aide économique -- Pays en voie de développement
Développement social -- Pays en voie de développement
Développement économique -- Pays en voie de développement
Inégalités socio-économiques",
Le Sommet de la Terre 92 et maintenant?,15/06/2002,"Suzuki, David
Conférence des Nations Unies sur l'environnement et le développement (1992 : Rio de Janeiro, Brésil)
Environnement -- Protection -- Sommets
Environnement -- Protection -- Accords internationaux",
Forêts modèles,15/06/2002,"Forêts -- Gestion -- Québec (Province)
Foresterie -- Innovations -- Québec (Province)
Forêts modèles -- Québec (Province)",
On achève bien les singes,15/06/2002,"Primates -- Protection
Espèces en danger
Jardins zoologiques",
Lutte à la désertification,15/06/2002,"Désertification, Lutte contre la -- Sahel",
Planète Net,15/06/2002,"Ressources naturelles -- Ressources Internet
Terre -- Ressources Internet",
Maurice Strong,15/06/2002,"Strong, Maurice
Conférence des Nations Unies sur l'environnement et le développement (1992 : Rio de Janeiro, Brésil)
Sommet mondial sur le développement durable (2002 : Johannesburg, Afrique du Sud)
Environnement -- Dégradation
Développement durable
Environnement -- Protection
Environnement -- Protection -- Sommets",
Avança Terra,15/06/2002,"Environnement et développement -- Brésil
Développement économique -- Aspect social -- Brésil
Environnement -- Dégradation -- Brésil
Paysannerie -- Brésil
Inégalités socio-économiques -- Brésil
Bidonvilles -- Brésil -- Rio de Janeiro
Brésil -- Conditions sociales",
Pêches [dans le Saint-Laurent],15/06/2002,"Morue -- Pêche commerciale -- Québec (Province)
Pêches -- Québec (Province)
Morue -- Populations
Ressources halieutiques -- Québec (Province)
Pêches -- Saint-Laurent (Fleuve)
Saint-Laurent (Fleuve) -- Pollution",
Terre! Terre!,15/06/2002,"Tectonique des plaques
Terre -- Origines
Lune -- Origines",
Forêts,15/06/2002,"Déboisement -- Régions tropicales
Déboisement -- Aspect de l'environnement -- Régions tropicales
Forêts tropicales -- Protection
Forêts -- Protection
Déboisement -- Brésil -- Amazonie",
Objectif Terre,15/06/2002,"Développement durable
Développement économique -- Aspect social
Biodiversité -- Conservation
Environnement -- Protection
Environnement -- Dégradation
Crise écologique",
Derniers refuges,15/06/2002,"Environnement -- Dégradation
Écosystèmes menacés
Espèces en danger -- Protection
Nature -- Conservation
Réserves naturelles",
Québec Science,15/05/2002,Québec science (Périodique) -- Index,
L'ABC de l'aventure,15/05/2002,"Loisirs de plein air -- Québec (Province)
Cuisine en plein air
Aliments -- Déshydratation
Exercice physique -- Aspect physiologique
Effort physique
Loisirs de plein air -- Matériel",
La redécouverte du patrimoine industriel,15/05/2002,"Eau -- Approvisionnement urbain -- Québec (Province) -- Montréal -- Histoire
Ressources en eau -- Exploitation -- Québec (Province) -- Montréal -- Histoire
Egouts -- Québec (Province) -- Montréal -- Histoire",
Le grand tour des planètes,15/05/2002,"Objets transneptuniens
Pluton (Planète)
Pluton (Planète) -- Satellites
Système solaire",
L'urgence de la prévention,15/05/2002,"Villedieu, Yanick. Jour la santé
Santé, Services de -- Québec (Province)
Médecine préventive -- Québec (Province)
Santé, Services de -- Philosophie
Médecine sociale -- Québec (Province)
Québec (Province) -- Politique de la santé",
Le Canada perd le nord,15/05/2002,"Pôle magnétique
Géomagnétisme",
Vive le logiciel libre!,15/05/2002,"Logiciels libres
Licence GPL
Licences d'exploitation",
Haro sur le sel!,15/05/2002,"Meneton, Pierre
Sodium dans l'organisme
Industrie agro-alimentaire
Système cardiovasculaire -- Maladies -- Aspect nutritionnel
Hypertension artérielle -- Aspect nutritionnel
Sodium dans l'alimentation",
Moisir dans la cuisine,15/05/2002,"Moisissures
Aliments -- Contamination
Toxines
Intoxications alimentaires -- Prévention",
Nanoboom!,15/05/2002,"Nanotechnologie -- Recherche -- Québec (Province)
Nanotubes
Nanotubes -- Recherche -- Québec (Province)",
Un bébé sans Alzheimer... et alors?,15/05/2002,"Maladies génétiques -- Dépistage
Diagnostics préimplantatoires
Diagnostics préimplantatoires -- Aspect moral
Fécondation in vitro -- Aspect moral",
Laval,15/04/2002,"Cité de la biotechnologie et de la santé humaine du Montréal métropolitain
Centre d'irradiation du Canada (Laval, Québec)
INRS-Institut Armand-Frappier (Laval, Québec)
Industrie horticole -- Québec (Province) -- Laval
Biotechnologie -- Industrie -- Québec (Province) -- Laval
Aliments -- Irradiation -- Recherche -- Québec (Province)
Vaccins contre le sida
Sida -- Recherche -- Québec (Province)
Routes en béton -- Québec (Province) -- Laval
Métros -- Québec (Province) -- Laval
Laval (Québec) -- Aménagement urbain
Laval (Québec) -- Economie",
Bible,15/04/2002,"Bible -- Critique, interprétation, etc
Bible -- Histoire des événements bibliques
Religion et sciences
Archéologie biblique
Archéologie -- Recherche",
L'heure des quilles,15/04/2002,Quilles (Jeu) -- Physique,
Moteurs de recherche,15/04/2002,"Moteurs de recherche sur Internet
Recherche sur Internet",
Agent très spécial,15/04/2002,"Garneau, Marc
Agence spatiale canadienne
Astronautes -- Canada
Programme spatial -- Canada",
Le grand tour des planètes,15/04/2002,"Hubble (Télescope spatial)
Anneaux planétaires
Voyager (Sondes spatiales)
Neptune (Planète) -- Exploration
Neptune (Planète) -- Atmosphère
Triton (Satellite de Neptune)",
L'espace aux touristes?,15/04/2002,"Shuttleworth, Mark
Station spatiale internationale
Tourisme spatial",
Médecine en ligne,15/04/2002,"Téléchirurgie
Robotique en médecine
Robots chirurgiens
Chirurgie -- Appareils et instruments",
La redécouverte du patrimoine industriel,15/04/2002,"SNC TEC (Firme)
Industrie militaire -- Canada -- Histoire
Industrie militaire -- Québec (Province) -- Histoire",
"Cerveau d'homme, cerveau de femme",15/04/2002,"Cerveau -- Différences entre sexes
Hommes -- Psychologie
Cerveau -- Recherche
Perception -- Différences entre sexes
Femmes -- Psychologie",
Le printemps ne tient pas la route,15/04/2002,"Climat -- Changements -- Québec (Province)
Chaussées -- Dégradations -- Québec (Province)
Routes -- Entretien et réparations
Revêtements (Voirie) -- Recherche -- Québec (Province)
Chaussées -- Dégâts causés par le gel -- Québec (Province)",
Encyclopédies pour branchés,15/03/2002,"Science interactive (Ressource électronique)
Dictionnaire interactif des sciences et techniques (Ressource électronique)
Encyclopédie multimédia Science & vie (Ressource électronique)
Encyclopédies électroniques -- Comptes rendus
Dictionnaires électroniques -- Comptes rendus
Sciences -- Information électronique -- Comptes rendus",
La redécouverte du patrimoine industriel,15/03/2002,"Shell Canada (Firme)
Raffineries de pétrole -- Québec (Province) -- Montréal -- Histoire
Pétrole -- Industrie et commerce -- Québec (Province) -- Montréal -- Histoire",
"Le \couac\"" du premier clone""",15/03/2002,"Advanced Cell Technology (Firme)
Clonage humain -- Aspect moral
Cellules souches embryonnaires -- Recherche
Clonage humain
Embryons humains -- Recherche -- Aspect moral",
Overdose de goudron dans le pot,15/03/2002,"Institut national de la santé et de la recherche médicale (France)
Cannabis -- Effets physiologiques et psychotropes
Cannabis -- Emploi en thérapeutique",
Culture underground,15/03/2002,"Métros -- Québec (Province) -- Montréal
Métros sur pneumatiques",
Le grand tour des planètes,15/03/2002,"Eau extraterrestre
Météorites -- Antarctique
Mars (Planète) -- Géologie
Mars (Planète) -- Observations
Mars (Planète) -- Exploration",
A la rescousse des saisons,15/03/2002,"Villeneuve, Claude
Protocole de Kyoto (1997)
Changements climatiques, Lutte contre les
Gaz à effet de serre -- Réduction -- Accords internationaux
Écologistes -- Québec (Province)",
Sécurité aérienne,15/03/2002,"Unidac (Logiciel)
Identification biométrique
Identification des personnes -- Technologie de l'information
Sécurité, Systèmes de -- Québec (Province)
Aéroports -- Sécurité -- Mesures",
Un océan dans votre pharmacie,15/03/2002,"Médicaments -- Recherche
Plantes médicinales -- Recherche
Faune marine
Flore marine",
Le mal de l'âme,15/03/2002,"Neurostimulants -- Administration et prescription -- Québec (Province)
Psychotropes -- Administration et prescription -- Québec (Province)
Dépression -- Traitement
Dépression chez les adolescents -- Québec (Province)
Dépression chez l'enfant -- Québec (Province)
Dépression chez l'enfant -- Traitement",
Philanthropie sur coussins d'air,15/02/2002,"Baracat, Jean-Pierre
Nova BUS (Firme)
Transports par autobus -- Québec (Province)
Transports par autobus -- Sécurité
Autobus -- Conception et construction",
Le coffre à outils. 1re partie,15/02/2002,"Sciences -- Logiciels
Logiciels gratuits -- Ressources Internet
Internet",
La peur est un piège,15/02/2002,"Progrès de la peur : clonage, CO2, nucléaire, Internet (Livre)
Sciences, Attitude envers les
Sciences -- Aspect social
Sciences -- Vulgarisation",
Les enfants du malheur,15/02/2002,"Ducrocq, François
Traumatisme psychique chez l'enfant
Enfants et guerre
Victimes de guerre -- Santé mentale",
La redécouverte du patrimoine industriel,15/02/2002,"Alcan (Firme)
Aluminium -- Industrie -- Québec (Province) -- Histoire
Alumineries -- Québec (Province) -- Histoire
Aluminium -- Fabrication",
Le grand tour des planètes,15/02/2002,"Ida (Astéroïde)
Galileo (Sonde spatiale)
NEAR (Sonde spatiale)
Sondes spatiales -- États-Unis
Astéroïdes
Astéroïdes -- Collisions avec la Terre
Météorites
Gaspra (Astéroïde)
Mathilde (Astéroïde)
Eros (Astéroïde)",
"Dormez bien, CATSI veille",15/02/2002,"Canada. Ministère de la Défense nationale. Centre de recherche pour la défense Valcartier
Terrorisme, Lutte contre le -- Québec (Province)
Bioterrorisme
CATSI (Robot)
SINBAHD (Robot)
Robots",
"La génomique, ça peut aussi servir (hélas) à faire la guerre",15/02/2002,"Armes chimiques
Armes biologiques
Bioterrorisme
Génomique",
"Votre alimentation, votre santé",15/12/2001,"Aliments -- Valeur nutritive
Aliments -- Consommation
Obésité
Nutraceutiques
Alimentation",
Plantes médicinales,15/12/2001,"Produits de santé naturels
Produits de santé naturels -- Effets secondaires
Médicaments -- Interaction",
Pause-café,15/12/2001,"Taches (Nettoyage)
Café
Café -- Refroidissement",
Adam en Amérique,15/12/2001,"Préhistoire -- Amérique -- Population
ADN mitochondrial
Génétique des populations humaines -- Amérique
Premières nations -- Préhistoire",
32 millions d'années en pleine gueule!,15/12/2001,"Picq, Pascal. Origines de l'homme : l'odyssée de l'espèce
Êtres humains -- Évolution
Dents
Hominidés -- Alimentation",
L'invasion des jouets-robots,15/12/2001,"Enfants autistes -- Réadaptation
Robots (Jouets) -- Aspect psychologique
Robots (Jouets)",
La redécouverte du patrimoine industriel,15/12/2001,"Vêtements de fourrure -- Québec (Province) -- Histoire
Chaussures -- Industrie et commerce -- Québec (Province) -- Histoire
Fourrures -- Industrie et commerce -- Québec (Province) -- Histoire",
L'hiver,15/12/2001,"Tenco (Firme)
Routes -- Déneigement et déglaçage -- Appareils et matériel
Fondants routiers -- Aspect de l'environnement
Chasse-neige
Déneigement -- Québec (Province) -- Montréal
Déneigement -- Appareils et matériel -- Industrie et commerce -- Québec (Province)",
Jeunesse en pilule,15/12/2001,"DHEA (Hormone)
Hormones cortico-surrénales
Vieillissement, Lutte contre le
Vieillissement, Lutte contre le -- Recherche",
Le grand tour des planètes,15/12/2001,"Planètes -- Exploration
Uranus (Planète)
Uranus (Planète) -- Satellites
Neptune (Planète)
Jupiter (Planète)",
De la science et des romans,15/11/2001,"Bibliothèques -- Technologie de l'information
Bibliothèques
Littérature et sciences
Cinéma -- Intrigues, thèmes, etc
Roman -- Thèmes, motifs",
Eve et ses 33 filles,15/11/2001,"Sykes, Bryan
ADN mitochondrial
Génétique et généalogie
Génétique des populations humaines -- Europe",
Plaidoyer pour la chasse sportive [au Québec],15/11/2001,"Chasse -- Politique gouvernementale -- Québec (Province)
Chasse -- Aspect économique -- Québec (Province)
Chasse -- Aspect de l'environnement
Faune -- Protection -- Québec (Province)",
Et vive le grand air,15/11/2001,"Oxygène -- Effets physiologiques
Respiration",
La science des policiers,15/11/2001,"Derome, Wilfrid
Interrogatoire policier
Police -- Equipes d'armes spéciales et tactiques -- Québec (Province) -- Montréal
Enquêtes criminelles
Criminels -- Identitication
Criminologistes -- Québec (Province)
Tueurs en série -- Grande-Bretagne -- Manchester
Police -- Usage des armes -- Québec (Province)
Police scientifique -- Québec (Province)
Police -- Québec (Province) -- Montréal
Police -- Appareils et matériel",
Le grand tour des planètes,15/11/2001,"Mariner 10 (Sonde spatiale)
Mercure (Planète) -- Géologie",
La redécouverte du patrimoine industriel,15/11/2001,"Caoutchouc -- Industrie -- Canada -- Histoire
Caoutchouc -- Industrie -- Québec (Province) -- Histoire
Hévéa -- Culture
Pneus -- Industrie et commerce -- Histoire",
Sida,15/11/2001,"Thomas, Réjean
Sida -- Recherche
Sida -- Traitement par chimiothérapie
Sexualité et sida
Médicaments contre le sida",
"Le froid, nouvelle arme contre le cancer",15/11/2001,"Cryochirurgie
Cancer -- Traitement",
Il fait parler les cimetières,15/11/2001,"Larocque, Robert
Cimetières -- Québec (Province)
Fouilles (Archéologie) -- Québec (Province)
Santé publique -- Québec (Province) -- Histoire",
Dans les étoiles,15/11/2001,"NASA (États-Unis)
Internet Engineering Task Force (Association)
InterPlaNet (Réseau d'ordinateurs)
Réseaux à grande distance (Informatique)
Internet interplanétaire
Communications interstellaires",
Le géant des marées,15/10/2001,"Fouilles (Paléontologie) -- Egypte
Dinosaures",
Le grand tour des planètes,15/10/2001,"Magellan (Sonde spatiale)
Vénus (Planète) -- Géologie",
